日	ニチ, ジツ, -	ひ, -び	day,  sun,  Japan
一	イチ, イツ, ヒト	ひと-	one
国	コク, ク		country
人	ジン, ニン, -	ひと, -り	person
年	ネン, ト		year
大	ダイ, タイ, -オオイ	おお-, おおきい	large,  big
十	ジュウ, ジッ, ジュッ	とお	ten
二	ニ, ジ, フタタ	ふた, ふたつ	two
本	ホン, モ		book,  present,  main,  true,  real,  counter for long things
中	チュウ, アタ	なか, うち	in,  inside,  middle,  mean,  center
長	チョウ, オ	ながい	long,  leader
出	シュツ, スイ, イダ	でる, -で, だす, -だす, いでる	exit,  leave
三	サン, ゾウ, ミッ	み, みつ	three
時	ジ, -ド	とき	time,  hour
行	コウ, ギョウ, アン, オコナ	いく, ゆく, -ゆき, -ゆき, -いき, -いき, おこなう	going,  journey
見	ケン	みる, みえる, みせる	see,  hopes,  chances,  idea,  opinion,  look at,  visible
月	ゲツ, ガツ, ツ		month,  moon
後	ゴ, コウ, オクレ	のち, うしろ, うしろ, あと	behind,  back,  later
前	ゼン, -マ	まえ	in front,  before
生	セイ, ショウ, -	いきる, いかす, いける, うまれる, うまれ, うまれ, うむ, おう, はえる, はやす, き, なま, なま-, なる	life,  genuine,  birth
五	ゴ, イツ	いつ	five
間	カン, ケン	あいだ, ま, あい	interval,  space
上	ジョウ, ショウ, シャン, ヨ	うえ, -うえ, うわ-, かみ, あげる, -あげる, あがる, -あがる, あがり, -あがり, のぼる, のぼり, のぼ	above,  up
東	トウ, ヒガ		east
四	シ, ヨ	よ, よつ, よっつ	four
今	コン, キン, イ		now
金	キン, コン, ゴン, -ガ	かね, かな-	gold
九	キュウ, ク, ココノ	ここの	nine
入	ニュウ, ジュ, ハイ	いる, -いる, -いり, いれる, -いれ	enter,  insert
学	ガク, マナ		study,  learning,  science
高	コウ, タカメ	たかい, たか, -だか, たかまる	tall,  high,  expensive
円	エン, マロヤ	まるい, まる, まど, まどか	circle,  yen,  round
子	シ, ス, ツ	こ, -こ	child,  sign, of, the, rat,  11PM-1AM,  first, sign, of, Chinese, zodiac
外	ガイ, ゲ	そと, ほか, はずす, はずれる, と	outside
八	ハチ, ヨ	や, やつ, やっつ	eight
六	ロク, リク, ム	む, むつ, むっつ	six
下	カ, ゲ, オリ	した, しも, もと, さげる, さがる, くだる, くだり, くだす, -くだす, くださる, おろす	below,  down,  descend,  give,  low,  inferior
来	ライ, タイ	くる, きたる, きたす, きたす, きたる, き	come,  due,  next,  cause,  become
気	キ, ケ	いき	spirit,  mind
小	ショウ	ちいさい, こ-, お-, さ	little,  small
七	シチ, ナ	なな, ななつ	seven
山	サン, セン, ヤ		mountain
話	ワ	はなす, はなし	tale,  talk
女	ジョ, ニョ, ニョウ	おんな	woman,  female
北	ホク, キ		north
午	ゴ	うま	noon,  sign of the horse,
百	ヒャク, ビャク, モ		hundred
書	ショ, -ガ	かく, -がき	write
先	セン, マ	さき	before,  ahead,  previous,  future,  precedence
名	メイ, ミョウ, -	な	name,  noted,  distinguished,  reputation
川	セン, カ		stream,  river
千	セン		thousand
水	スイ	みず, みず	water
半	ハン, ナカ		half,  middle,  odd, number,  semi-,  part-
男	ダン, ナン	おとこ	male
西	セイ, サイ, ス, ニ		west,  Spain
電	デン		electricity
校	コウ, キョ		exam,  school,  printing,  proof,  correction
語	ゴ	かたる, かたらう	word,  speech,  language
土	ド, ト, ツ		soil,  earth,  ground,  Turkey
木	ボク, モク	き, こ	tree,  wood
聞	ブン, モン	きく, きこえる	hear,  ask,  listen
食	ショク, ジキ, ハ	くう, くらう, たべる	eat,  food
車	シャ, クル		car
何	カ	なに, なん, なに-, なん	what
南	ナン, ナ, ミナ		south
万	マン, バン, ヨロ		ten thousand
毎	マイ, -ゴト	ごと	every
白	ハク, ビャク, シロ	しろ, しら-	white
天	テン	あまつ, あめ, あま	heavens,  sky,  imperial
母	ボ	はは, も	mama,  mother
火	カ	ひ, -び, ほ-	fire
右	ウ, ユウ, ミ		right
読	ドク, トク, トウ, -ヨ	よむ	read
友	ユウ, ト		friend
左	サ, シャ, ヒダ		left
休	キュウ	やすむ, やすまる, やすめる	rest,  day off,  retire,  sleep
父	フ	ちち	father
雨	ウ	あめ, あま-, -さめ	rain
